"Graph 0","Graph 1","100.0?r??j100.?100.00","?100.00","100.?100.00","100.00100.00","-?r??0.00","-6?0.00","80.65?r???0.00","0.530.00","??r??j98.53","9?0.00"
100.000000,-0.190000,"","","","","","","","","",""
100.000000,-0.180000,"","","","","","","","","",""
100.000000,-0.160000,"","","","","","","","","",""
100.000000,-0.150000,"","","","","","","","","",""
100.000000,-0.140000,"","","","","","","","","",""
100.000000,-0.080000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.090000,"","","","","","","","","",""
100.000000,0.190000,"","","","","","","","","",""
100.000000,0.320000,"","","","","","","","","",""
100.000000,0.420000,"","","","","","","","","",""
100.000000,0.490000,"","","","","","","","","",""
100.000000,0.540000,"","","","","","","","","",""
100.000000,0.560000,"","","","","","","","","",""
100.000000,0.530000,"","","","","","","","","",""
100.000000,0.440000,"","","","","","","","","",""
100.000000,0.370000,"","","","","","","","","",""
100.000000,0.300000,"","","","","","","","","",""
100.000000,0.250000,"","","","","","","","","",""
100.000000,0.210000,"","","","","","","","","",""
100.000000,0.170000,"","","","","","","","","",""
100.000000,0.140000,"","","","","","","","","",""
100.000000,0.120000,"","","","","","","","","",""
100.000000,0.090000,"","","","","","","","","",""
100.000000,0.080000,"","","","","","","","","",""
100.000000,0.060000,"","","","","","","","","",""
100.000000,0.050000,"","","","","","","","","",""
100.000000,0.040000,"","","","","","","","","",""
100.000000,0.030000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.040000,"","","","","","","","","",""
100.000000,0.130000,"","","","","","","","","",""
100.000000,0.240000,"","","","","","","","","",""
100.000000,0.380000,"","","","","","","","","",""
100.000000,0.480000,"","","","","","","","","",""
100.000000,0.550000,"","","","","","","","","",""
100.000000,0.540000,"","","","","","","","","",""
100.000000,0.480000,"","","","","","","","","",""
100.000000,0.430000,"","","","","","","","","",""
100.000000,0.330000,"","","","","","","","","",""
100.000000,0.200000,"","","","","","","","","",""
100.000000,0.090000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,-0.060000,"","","","","","","","","",""
100.000000,-0.110000,"","","","","","","","","",""
100.000000,-0.140000,"","","","","","","","","",""
100.000000,-0.170000,"","","","","","","","","",""
100.000000,-0.180000,"","","","","","","","","",""
100.000000,-0.200000,"","","","","","","","","",""
100.000000,-0.200000,"","","","","","","","","",""
100.000000,-0.200000,"","","","","","","","","",""
100.000000,-0.200000,"","","","","","","","","",""
100.000000,-0.200000,"","","","","","","","","",""
100.000000,-0.190000,"","","","","","","","","",""
100.000000,-0.190000,"","","","","","","","","",""
100.000000,-0.180000,"","","","","","","","","",""
100.000000,-0.170000,"","","","","","","","","",""
100.000000,-0.160000,"","","","","","","","","",""
100.000000,-0.150000,"","","","","","","","","",""
100.000000,-0.140000,"","","","","","","","","",""
100.000000,-0.130000,"","","","","","","","","",""
100.000000,-0.120000,"","","","","","","","","",""
100.000000,-0.110000,"","","","","","","","","",""
100.000000,-0.110000,"","","","","","","","","",""
100.000000,-0.100000,"","","","","","","","","",""
100.000000,-0.040000,"","","","","","","","","",""
100.000000,0.050000,"","","","","","","","","",""
100.000000,0.120000,"","","","","","","","","",""
100.000000,0.170000,"","","","","","","","","",""
100.000000,0.210000,"","","","","","","","","",""
100.000000,0.230000,"","","","","","","","","",""
100.000000,0.250000,"","","","","","","","","",""
100.000000,0.260000,"","","","","","","","","",""
100.000000,0.260000,"","","","","","","","","",""
100.000000,0.260000,"","","","","","","","","",""
100.000000,0.260000,"","","","","","","","","",""
100.000000,0.250000,"","","","","","","","","",""
100.000000,0.240000,"","","","","","","","","",""
100.000000,0.230000,"","","","","","","","","",""
100.000000,0.220000,"","","","","","","","","",""
100.000000,0.210000,"","","","","","","","","",""
100.000000,0.200000,"","","","","","","","","",""
100.000000,0.190000,"","","","","","","","","",""
100.000000,0.170000,"","","","","","","","","",""
100.000000,0.160000,"","","","","","","","","",""
100.000000,0.150000,"","","","","","","","","",""
100.000000,0.140000,"","","","","","","","","",""
100.000000,0.130000,"","","","","","","","","",""
100.000000,0.120000,"","","","","","","","","",""
100.000000,0.110000,"","","","","","","","","",""
100.000000,0.150000,"","","","","","","","","",""
100.000000,0.240000,"","","","","","","","","",""
100.000000,0.300000,"","","","","","","","","",""
100.000000,0.340000,"","","","","","","","","",""
100.000000,0.370000,"","","","","","","","","",""
100.000000,0.380000,"","","","","","","","","",""
100.000000,0.390000,"","","","","","","","","",""
100.000000,0.390000,"","","","","","","","","",""
100.000000,0.390000,"","","","","","","","","",""
100.000000,0.380000,"","","","","","","","","",""
100.000000,0.360000,"","","","","","","","","",""
100.000000,0.350000,"","","","","","","","","",""
100.000000,0.380000,"","","","","","","","","",""
100.000000,0.460000,"","","","","","","","","",""
100.000000,0.510000,"","","","","","","","","",""
100.000000,0.590000,"","","","","","","","","",""
100.000000,0.700000,"","","","","","","","","",""
100.000000,0.770000,"","","","","","","","","",""
100.000000,0.820000,"","","","","","","","","",""
100.000000,0.840000,"","","","","","","","","",""
100.000000,0.850000,"","","","","","","","","",""
100.000000,0.840000,"","","","","","","","","",""
100.000000,0.820000,"","","","","","","","","",""
100.000000,0.800000,"","","","","","","","","",""
100.000000,0.770000,"","","","","","","","","",""
100.000000,0.790000,"","","","","","","","","",""
100.000000,0.840000,"","","","","","","","","",""
100.000000,0.870000,"","","","","","","","","",""
100.000000,0.880000,"","","","","","","","","",""
100.000000,0.880000,"","","","","","","","","",""
100.000000,0.860000,"","","","","","","","","",""
100.000000,0.790000,"","","","","","","","","",""
100.000000,0.670000,"","","","","","","","","",""
100.000000,0.570000,"","","","","","","","","",""
100.000000,0.430000,"","","","","","","","","",""
100.000000,0.260000,"","","","","","","","","",""
100.000000,0.130000,"","","","","","","","","",""
100.000000,0.030000,"","","","","","","","","",""
100.000000,-0.050000,"","","","","","","","","",""
100.000000,-0.110000,"","","","","","","","","",""
100.000000,-0.150000,"","","","","","","","","",""
100.000000,-0.190000,"","","","","","","","","",""
100.000000,-0.210000,"","","","","","","","","",""
100.000000,-0.270000,"","","","","","","","","",""
100.000000,-0.360000,"","","","","","","","","",""
100.000000,-0.430000,"","","","","","","","","",""
100.000000,-0.480000,"","","","","","","","","",""
100.000000,-0.500000,"","","","","","","","","",""
100.000000,-0.520000,"","","","","","","","","",""
100.000000,-0.520000,"","","","","","","","","",""
100.000000,-0.520000,"","","","","","","","","",""
100.000000,-0.460000,"","","","","","","","","",""
100.000000,-0.360000,"","","","","","","","","",""
100.000000,-0.280000,"","","","","","","","","",""
100.000000,-0.210000,"","","","","","","","","",""
100.000000,-0.160000,"","","","","","","","","",""
100.000000,-0.120000,"","","","","","","","","",""
100.000000,-0.080000,"","","","","","","","","",""
100.000000,-0.050000,"","","","","","","","","",""
100.000000,-0.030000,"","","","","","","","","",""
100.000000,0.040000,"","","","","","","","","",""
100.000000,0.140000,"","","","","","","","","",""
100.000000,0.210000,"","","","","","","","","",""
100.000000,0.260000,"","","","","","","","","",""
100.000000,0.300000,"","","","","","","","","",""
100.000000,0.330000,"","","","","","","","","",""
100.000000,0.340000,"","","","","","","","","",""
100.000000,0.350000,"","","","","","","","","",""
100.000000,0.350000,"","","","","","","","","",""
100.000000,0.340000,"","","","","","","","","",""
100.000000,0.340000,"","","","","","","","","",""
100.000000,0.330000,"","","","","","","","","",""
100.000000,0.310000,"","","","","","","","","",""
100.000000,0.300000,"","","","","","","","","",""
100.000000,0.280000,"","","","","","","","","",""
100.000000,0.270000,"","","","","","","","","",""
100.000000,0.250000,"","","","","","","","","",""
100.000000,0.240000,"","","","","","","","","",""
100.000000,0.220000,"","","","","","","","","",""
100.000000,0.200000,"","","","","","","","","",""
100.000000,0.190000,"","","","","","","","","",""
100.000000,0.180000,"","","","","","","","","",""
100.000000,0.160000,"","","","","","","","","",""
100.000000,0.150000,"","","","","","","","","",""
100.000000,0.140000,"","","","","","","","","",""
100.000000,0.130000,"","","","","","","","","",""
100.000000,0.120000,"","","","","","","","","",""
100.000000,0.110000,"","","","","","","","","",""
100.000000,0.100000,"","","","","","","","","",""
100.000000,0.090000,"","","","","","","","","",""
100.000000,0.080000,"","","","","","","","","",""
100.000000,0.080000,"","","","","","","","","",""
100.000000,0.070000,"","","","","","","","","",""
100.000000,0.060000,"","","","","","","","","",""
100.000000,0.060000,"","","","","","","","","",""
100.000000,0.050000,"","","","","","","","","",""
100.000000,0.050000,"","","","","","","","","",""
100.000000,0.040000,"","","","","","","","","",""
100.000000,0.040000,"","","","","","","","","",""
100.000000,0.040000,"","","","","","","","","",""
100.000000,0.030000,"","","","","","","","","",""
100.000000,0.030000,"","","","","","","","","",""
100.000000,0.030000,"","","","","","","","","",""
100.000000,0.030000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.020000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.010000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,-0.050000,"","","","","","","","","",""
100.000000,-0.140000,"","","","","","","","","",""
100.000000,-0.210000,"","","","","","","","","",""
100.000000,-0.300000,"","","","","","","","","",""
100.000000,-0.420000,"","","","","","","","","",""
100.000000,-0.510000,"","","","","","","","","",""
100.000000,-0.570000,"","","","","","","","","",""
100.000000,-0.610000,"","","","","","","","","",""
100.000000,-0.630000,"","","","","","","","","",""
100.000000,-0.630000,"","","","","","","","","",""
100.000000,-0.630000,"","","","","","","","","",""
100.000000,-0.620000,"","","","","","","","","",""
100.000000,-0.600000,"","","","","","","","","",""
100.000000,-0.580000,"","","","","","","","","",""
100.000000,-0.560000,"","","","","","","","","",""
100.000000,-0.530000,"","","","","","","","","",""
100.000000,-0.500000,"","","","","","","","","",""
100.000000,-0.470000,"","","","","","","","","",""
100.000000,-0.440000,"","","","","","","","","",""
100.000000,-0.410000,"","","","","","","","","",""
100.000000,-0.390000,"","","","","","","","","",""
100.000000,-0.360000,"","","","","","","","","",""
100.000000,-0.330000,"","","","","","","","","",""
100.000000,-0.310000,"","","","","","","","","",""
100.000000,-0.290000,"","","","","","","","","",""
100.000000,-0.270000,"","","","","","","","","",""
100.000000,-0.240000,"","","","","","","","","",""
100.000000,-0.230000,"","","","","","","","","",""
100.000000,-0.210000,"","","","","","","","","",""
100.000000,-0.190000,"","","","","","","","","",""
100.000000,-0.170000,"","","","","","","","","",""
100.000000,-0.160000,"","","","","","","","","",""
100.000000,-0.150000,"","","","","","","","","",""
100.000000,-0.130000,"","","","","","","","","",""
100.000000,-0.120000,"","","","","","","","","",""
100.000000,-0.110000,"","","","","","","","","",""
100.000000,-0.100000,"","","","","","","","","",""
100.000000,-0.050000,"","","","","","","","","",""
